Original Language,Original Title,Overview,Popularity,Poster Path,Release Date,Title,Video,Vote Average,Vote Count
es,Los bastardos,,625.43,/ffDHUOjHNfqSizXFA7oymCCckE8.jpg,2023-03-30,Los bastardos,FALSE,6.2,10
en,Flamin' Hot,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",579.168,/a7KyFMPXj0iY4EoLq1PIGU1WJPw.jpg,2023-03-11,Flamin' Hot,FALSE,8.2,253
ja,映画 ブラッククローバー 魔法帝の剣,"As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",611.682,/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,2023-06-16,Black Clover: Sword of the Wizard King,FALSE,8.5,123
en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",523.158,/gNPqcv1tAifbN7PRNgqpzY8sEJZ.jpg,2023-04-05,The Pope's Exorcist,FALSE,7.2,1481
en,Ant-Man and the Wasp: Quantumania,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",671.435,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,2023-02-15,Ant-Man and the Wasp: Quantumania,FALSE,6.5,3410
en,Ambush,"When a small outpost is ambushed, a US Army squad must take the battle below ground on a high-stakes mission in a new type of warfare the likes of which they have never seen.",493.641,/3QjtDMS7PB4SMj0nAJQiE86Lo0w.jpg,2023-02-24,Ambush,FALSE,5.8,18
fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",542.269,/ygO9lowFMXWymATCrhoQXd6gCEh.jpg,2023-01-27,Sisu,FALSE,7.4,788
en,The Wrath of Becky,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",876.439,/3LShl6EwqptKIVq6NWOZ0FbZHEe.jpg,2023-05-26,The Wrath of Becky,FALSE,6.6,41
en,Shazam! Fury of the Gods,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",522.597,/A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,2023-03-15,Shazam! Fury of the Gods,FALSE,6.7,2043
en,Fear the Invisible Man,"A young British widow shelters an old medical school colleague, a man who has somehow turned himself invisible. As his isolation grows and his sanity frays, he schemes to create a reign of wanton murder and terror across the city.",389.946,/jobwUwGIKRS1NwdEjYGlk6Rao5H.jpg,2023-06-13,Fear the Invisible Man,FALSE,7.1,13
